Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Jefferson County, AL",1073,Assault by other and unspecified firearm discharge,X95,56,656023,8.5
,"Lee County, AL",1081,Assault by other and unspecified firearm discharge,X95,12,122274,Unreliable
,"Mobile County, AL",1097,Assault by handgun discharge,X93,15,397959,Unreliable
,"Mobile County, AL",1097,Assault by other and unspecified firearm discharge,X95,13,397959,Unreliable
,"Montgomery County, AL",1101,Assault by other and unspecified firearm discharge,X95,16,223002,Unreliable
,"Maricopa County, AZ",4013,"Assault by hanging, strangulation and suffocation",X91,10,3417860,Unreliable
,"Maricopa County, AZ",4013,"Assault by rifle, shotgun and larger firearm discharge",X94,14,3417860,Unreliable
,"Maricopa County, AZ",4013,Assault by other and unspecified firearm discharge,X95,211,3417860,6.2
,"Maricopa County, AZ",4013,Assault by sharp object,X99,22,3417860,0.6
,"Maricopa County, AZ",4013,Assault by unspecified means,Y09,44,3417860,1.3
,"Pima County, AZ",4019,Assault by other and unspecified firearm discharge,X95,55,901342,6.1
,"Pima County, AZ",4019,Assault by sharp object,X99,10,901342,Unreliable
,"Pima County, AZ",4019,Assault by unspecified means,Y09,10,901342,Unreliable
,"Pinal County, AZ",4021,Assault by other and unspecified firearm discharge,X95,15,219472,Unreliable
,"Pulaski County, AR",5119,Assault by other and unspecified firearm discharge,X95,38,366608,10.4
,"Alameda County, CA",6001,Assault by handgun discharge,X93,49,1445721,3.4
,"Alameda County, CA",6001,"Assault by rifle, shotgun and larger firearm discharge",X94,10,1445721,Unreliable
,"Alameda County, CA",6001,Assault by other and unspecified firearm discharge,X95,26,1445721,1.8
,"Contra Costa County, CA",6013,Assault by handgun discharge,X93,19,992424,Unreliable
,"Contra Costa County, CA",6013,Assault by other and unspecified firearm discharge,X95,44,992424,4.4
,"Fresno County, CA",6019,Assault by other and unspecified firearm discharge,X95,50,861035,5.8
,"Fresno County, CA",6019,Assault by sharp object,X99,11,861035,Unreliable
,"Kern County, CA",6029,Assault by other and unspecified firearm discharge,X95,28,736296,3.8
,"Los Angeles County, CA",6037,"Assault by hanging, strangulation and suffocation",X91,29,9793263,0.3
,"Los Angeles County, CA",6037,Assault by handgun discharge,X93,79,9793263,0.8
,"Los Angeles County, CA",6037,"Assault by rifle, shotgun and larger firearm discharge",X94,21,9793263,0.2
,"Los Angeles County, CA",6037,Assault by other and unspecified firearm discharge,X95,740,9793263,7.6
,"Los Angeles County, CA",6037,Assault by sharp object,X99,80,9793263,0.8
,"Los Angeles County, CA",6037,Assault by unspecified means,Y09,63,9793263,0.6
,"Los Angeles County, CA",6037,Sequelae of assault,Y87.1,22,9793263,0.2
,"Merced County, CA",6047,Assault by other and unspecified firearm discharge,X95,11,237180,Unreliable
,"Monterey County, CA",6053,Assault by handgun discharge,X93,11,408731,Unreliable
,"Monterey County, CA",6053,Assault by other and unspecified firearm discharge,X95,13,408731,Unreliable
,"Orange County, CA",6059,Assault by handgun discharge,X93,26,2941711,0.9
,"Orange County, CA",6059,Assault by other and unspecified firearm discharge,X95,27,2941711,0.9
,"Orange County, CA",6059,Assault by sharp object,X99,15,2941711,Unreliable
,"Riverside County, CA",6065,Assault by handgun discharge,X93,15,1856542,Unreliable
,"Riverside County, CA",6065,Assault by other and unspecified firearm discharge,X95,36,1856542,1.9
,"Riverside County, CA",6065,Assault by sharp object,X99,14,1856542,Unreliable
,"Riverside County, CA",6065,Assault by unspecified means,Y09,10,1856542,Unreliable
,"Sacramento County, CA",6067,Assault by handgun discharge,X93,20,1348932,1.5
,"Sacramento County, CA",6067,Assault by other and unspecified firearm discharge,X95,32,1348932,2.4
,"Sacramento County, CA",6067,Assault by sharp object,X99,16,1348932,Unreliable
,"Sacramento County, CA",6067,Assault by unspecified means,Y09,15,1348932,Unreliable
,"San Bernardino County, CA",6071,"Assault by rifle, shotgun and larger firearm discharge",X94,10,1899065,Unreliable
,"San Bernardino County, CA",6071,Assault by other and unspecified firearm discharge,X95,117,1899065,6.2
,"San Bernardino County, CA",6071,Assault by sharp object,X99,16,1899065,Unreliable
,"San Bernardino County, CA",6071,Assault by unspecified means,Y09,10,1899065,Unreliable
,"San Diego County, CA",6073,Assault by other and unspecified firearm discharge,X95,78,2930007,2.7
,"San Diego County, CA",6073,Assault by sharp object,X99,17,2930007,Unreliable
,"San Diego County, CA",6073,Assault by unspecified means,Y09,25,2930007,0.9
,"San Francisco County, CA",6075,Assault by other and unspecified firearm discharge,X95,50,761325,6.6
,"San Francisco County, CA",6075,Assault by unspecified means,Y09,12,761325,Unreliable
,"San Joaquin County, CA",6077,Assault by other and unspecified firearm discharge,X95,33,642898,5.1
,"San Joaquin County, CA",6077,Assault by sharp object,X99,10,642898,Unreliable
,"San Joaquin County, CA",6077,Assault by unspecified means,Y09,12,642898,Unreliable
,"San Mateo County, CA",6081,Assault by other and unspecified firearm discharge,X95,16,690161,Unreliable
,"Santa Clara County, CA",6085,Assault by other and unspecified firearm discharge,X95,27,1663167,1.6
,"Stanislaus County, CA",6099,Assault by other and unspecified firearm discharge,X95,24,492613,4.9
,"Tulare County, CA",6107,Assault by other and unspecified firearm discharge,X95,16,398226,Unreliable
,"Ventura County, CA",6111,Assault by other and unspecified firearm discharge,X95,16,793994,Unreliable
,"Arapahoe County, CO",8005,Assault by other and unspecified firearm discharge,X95,14,518971,Unreliable
,"Denver County, CO",8031,Assault by other and unspecified firearm discharge,X95,42,550756,7.6
,"Denver County, CO",8031,Assault by sharp object,X99,14,550756,Unreliable
,"Denver County, CO",8031,Assault by unspecified means,Y09,10,550756,Unreliable
,"El Paso County, CO",8041,Assault by other and unspecified firearm discharge,X95,12,556667,Unreliable
,"Fairfield County, CT",9001,Assault by other and unspecified firearm discharge,X95,19,897472,Unreliable
,"Hartford County, CT",9003,Assault by other and unspecified firearm discharge,X95,17,874449,Unreliable
,"New Haven County, CT",9009,Assault by other and unspecified firearm discharge,X95,17,844505,Unreliable
,"New Castle County, DE",10003,Assault by other and unspecified firearm discharge,X95,25,518944,4.8
,"District of Columbia, DC",11001,Assault by other and unspecified firearm discharge,X95,136,567754,24
,"District of Columbia, DC",11001,Assault by sharp object,X99,20,567754,3.5
,"Brevard County, FL",12009,Assault by other and unspecified firearm discharge,X95,14,518722,Unreliable
,"Broward County, FL",12011,Assault by other and unspecified firearm discharge,X95,45,1725461,2.6
,"Duval County, FL",12031,Assault by other and unspecified firearm discharge,X95,74,820070,9
